usa_paraula_base,usa_es_minusc,usa_inici_majusc,usa_es_majusc,usa_es_digit,usa_te_digit,usa_es_alfanumeric,usa_puntuacio,usa_simbol,usa_longitud,usa_forma,usa_forma_curta,usa_afixos,usa_postag,usa_lema,usa_context_bigrama_postag,usa_inici_final,usa_gasetes,usa_context_paraula,usa_context_postag,F1_Parcial
True,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,2,1,0.7787078519217165
True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,2,1,0.7790191697048101
True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,2,1,0.7804647870708977
True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,2,1,0.7793249940995988
True,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,2,1,0.7785908178921278
True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,2,1,0.7789498359118612
True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,2,1,0.7687949958692317
True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,2,1,0.7773580450950301
True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,2,1,0.7774470111931413
True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,2,1,0.7806617561089676
True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,2,1,0.7774780058651027
True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,2,1,0.7786008230452675
True,False,False,False,True,False,False,True,False,False,True,False,True,True,True,False,False,False,2,1,0.7784742755765819
True,False,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,2,1,0.7800188723755603
True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,False,2,1,0.776122903717603
True,False,False,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,2,1,0.7800448166057318
True,False,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,False,2,1,0.7795229097779877
True,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,False,2,1,0.7784810126582278
True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,False,2,1,0.7697213037316958
True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False,2,1,0.7789833706805048
True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,True,2,1,0.7792996665078609
True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,2,1,0.7801426733715356
True,True,False,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,2,1,0.7782583284628871
True,True,False,False,True,False,False,True,False,False,True,False,True,True,True,False,False,False,2,1,0.7778169014084507
True,True,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,2,1,0.7808043020808978
True,True,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,False,2,1,0.7817205556204039
True,True,False,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,2,1,0.780998013322426
True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,False,2,1,0.7810304449648712
True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,False,2,1,0.7797521627308862
True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,False,2,1,0.7721311475409836
True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False,2,1,0.7788686302010285
True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,True,2,1,0.7823937860421325
True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,True,2,1,0.7832570153810027
True,True,False,True,False,False,False,True,False,False,True,False,True,True,True,False,False,True,2,1,0.782015065913371
